pID,pName,options,suggestion
AJ,Allan Johnson Signature Brush,"[{""name"":""AJ-4/0"",""price"":380},{""name"":""AJ-2/0"",""price"":400},{""name"":""AJ-1"",""price"":420}]","[""Success-1"",{""name"":""Mack AJ #4/0 Alan Johnson Signature Brush"",""price"":380},{""name"":""Mack AJ #2/0 Alan Johnson Signature Brush"",""price"":400},{""name"":""Mack AJ #1 Alan Johnson Signature Brush"",""price"":420}]"
A610,Alphanamel Alpha Blue,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""4 oz Can"",""price"":1395},{""name"":""8 oz Can"",""price"":1995}]","[""Duplicate Prices"",4,{""name"":""Alphanamel Lil Dame's Blue 2oz"",""price"":995},{""name"":""Alphanamel Lil Dame's Blue 4oz"",""price"":1395},{""name"":""Alphanamel Mike Myer's Dark Blue 4oz"",""price"":1395},{""name"":""Alphanamel Lil Dame's Blue 8oz"",""price"":1995}]"
A604,Alphanamel Alpha Dark Red,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""4 oz Can"",""price"":1395},{""name"":""8 oz Can"",""price"":1995}]","[""Less Suggestions"",{""name"":""Alphanamel Lumpy's Red 4oz"",""price"":1395},{""name"":""Alphanamel Lumpy's Red 8oz"",""price"":1995},{""name"":""Alphanamel Lumpy's Red 2oz"",""price"":995}]"
A614,Alphanamel Alpha Grey,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""4 oz Can"",""price"":1395},{""name"":""8 oz Can"",""price"":1995}]","[""Less Suggestions"",{""name"":""Alphanamel Max Grundy's Grey 4oz"",""price"":1395},{""name"":""Alphanamel Max Grundy's Grey 2oz"",""price"":995}]"
A615,Alphanamel Alpha Ivory,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""More Suggestions:3"",{""name"":""Alphanamel CSNR's Ivory 4oz"",""price"":1395},{""name"":""Alphanamel CSNR's Ivory 8oz"",""price"":1995},{""name"":""Alphanamel CSNR's Ivory 2oz"",""price"":995},""Parenthesis"",""Match Number: 0""]"
A605,Alphanamel Alpha Orange,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""4 oz Can"",""price"":1395},{""name"":""8 oz Can"",""price"":1995}]","[""Less Suggestions"",{""name"":""Alphanamel Tidwell's Orange 4oz"",""price"":1395},{""name"":""Alphanamel Tidwell's Orange 8oz"",""price"":1995},{""name"":""Alphanamel Tidwell's Orange 2oz"",""price"":995}]"
A612,Alphanamel Alpha Purple,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""8 oz Can"",""price"":1995}]","[""More Suggestions:4"",{""name"":""Alphanamel Lokey's Purple 4oz"",""price"":1395},{""name"":""Alphanamel Tuki's Violet 8oz"",""price"":1995},{""name"":""Alphanamel Lokey's Purple 8oz"",""price"":1995},{""name"":""Alphanamel Lokey's Purple 2oz"",""price"":995}]"
A603,Alphanamel Alpha Red,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""More Suggestions:3"",{""name"":""Alphanamel Hanson's Red 4oz"",""price"":1395},{""name"":""Alphanamel Hanson's Red 8oz"",""price"":1995},{""name"":""Alphanamel Hanson's Red 2oz"",""price"":995},""Parenthesis"",""Match Number: 0""]"
A602,Alphanamel Alpha White,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""8oz (Squeeze Bottle)"",""price"":1695}]","[""Not All Prices Match"",{""name"":""Alphanamel White 2oz"",""price"":895},{""name"":""Alphanamel White 4oz"",""price"":1295},{""name"":""Alphanamel White 8oz"",""price"":1595},""Parenthesis"",""Match Number: 0""]"
A607,Alphanamel Alpha Yellow,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""More Suggestions:3"",{""name"":""Alphanamel Danny D's Yellow 4oz"",""price"":1395},{""name"":""Alphanamel Danny D's Yellow 8oz"",""price"":1995},{""name"":""Alphanamel Danny D's Yellow 2oz"",""price"":995},""Parenthesis"",""Match Number: 0""]"
A625,Alphanamel Army Green,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Army Green 2oz"",""price"":995},{""name"":""Alphanamel Army Green 4oz"",""price"":1395}]"
A620,Alphanamel Blood Orange,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Blood Orange 2oz"",""price"":995},{""name"":""Alphanamel Blood Orange 4oz"",""price"":1395}]"
A628,Alphanamel Blueberry Sherbert,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Blueberry Sherbert 2oz"",""price"":995},{""name"":""Alphanamel Blueberry Sherbert 4oz"",""price"":1395}]"
A642,Alphanamel Bright Teal,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Bright Teal 2oz"",""price"":995},{""name"":""Alphanamel Bright Teal 4oz"",""price"":1395}]"
A623,Alphanamel Chocolate Brown,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Chocolate Brown 2oz"",""price"":995},{""name"":""Alphanamel Chocolate Brown 4oz"",""price"":1395}]"
A624,Alphanamel Dark Olive,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Dark Olive 2oz"",""price"":995},{""name"":""Alphanamel Dark Olive 4oz"",""price"":1395}]"
A622,Alphanamel Dark Teal,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Dark Teal 2oz"",""price"":995},{""name"":""Alphanamel Dark Teal 4oz"",""price"":1395}]"
A606,Alphanamel Dark Yellow,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""4 oz Can"",""price"":1395},{""name"":""8 oz Can"",""price"":1995}]","[""Less Suggestions"",{""name"":""Alphanamel El Bugs' Dark Yellow 4oz"",""price"":1395},{""name"":""Alphanamel El Bugs' Dark Yellow 8oz"",""price"":1995},{""name"":""Alphanamel El Bugs' Dark Yellow 2oz"",""price"":995}]"
A617,Alphanamel Dorr's Green,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Doug Dorr's Green 2oz"",""price"":995},{""name"":""Alphanamel Doug Dorr's Green 4oz"",""price"":1395}]"
A638,Alphanamel Electroshock Green,"[{""name"":""5oz (Squeeze Bottle)"",""price"":1795}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
A639,Alphanamel Electroshock Orange,"[{""name"":""5oz (Squeeze Bottle)"",""price"":1795}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
A637,Alphanamel Electroshock Pink,"[{""name"":""5oz (Squeeze Bottle)"",""price"":1795}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
A636,Alphanamel Electroshock Red,"[{""name"":""5oz (Squeeze Bottle)"",""price"":1795}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
A640,Alphanamel Electroshock Yellow,"[{""name"":""5oz (Squeeze Bottle)"",""price"":1795}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
A634,Alphanamel Flat Black,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Big Mea's Flat Black 2oz"",""price"":995},{""name"":""Alphanamel Big Mea's Flat Black 4oz"",""price"":1395}]"
A635,Alphanamel Hot Pink,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
A608,Alphanamel Hot Rod Green,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""4 oz Can"",""price"":1395},{""name"":""8 oz Can"",""price"":1995}]","[""Less Suggestions"",{""name"":""Alphanamel Hot Rod Jen's Green 4oz"",""price"":1395},{""name"":""Alphanamel Hot Rod Jen's Green 8oz"",""price"":1995},{""name"":""Alphanamel Hot Rod Jen's Green 2oz"",""price"":995}]"
A616,Alphanamel Imitation Gold,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""8 oz Can"",""price"":1995}]","[""Success-1"",{""name"":""Alphanamel Sonny Boy's Imitation Gold 2oz"",""price"":995},{""name"":""Alphanamel Sonny Boy's Imitation Gold 4oz"",""price"":1395},{""name"":""Alphanamel Sonny Boy's Imitation Gold 8oz"",""price"":1995}]"
A630,Alphanamel Lemon Sherbert,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Less Suggestions"",{""name"":""Alphanamel Lemon Shebert 2oz"",""price"":995},""Parenthesis"",""Match Number: 0""]"
A609,Alphanamel Light Blue,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""4 oz Can"",""price"":1395},{""name"":""8 oz Can"",""price"":1995}]","[""Less Suggestions"",{""name"":""Alphanamel Sic's Light Blue 4oz"",""price"":1395},{""name"":""Alphanamel Sic's Light Blue 8oz"",""price"":1995},{""name"":""Alphanamel Sic's Light Blue 2oz"",""price"":995}]"
A631,Alphanamel Liquid Sunshine,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Liquid Sunshine 2oz"",""price"":995},{""name"":""Alphanamel Liquid Sunshine 4oz"",""price"":1395}]"
A621,Alphanamel Lizzie's Light Teal,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Light Teal 2oz"",""price"":995},{""name"":""Alphanamel Light Teal 4oz"",""price"":1395}]"
A601,Alphanamel McKeag's Black,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""8oz (Squeeze Bottle)"",""price"":1695}]","[""Not All Prices Match"",{""name"":""Alphanamel Black 2oz"",""price"":895},{""name"":""Alphanamel Black 4oz"",""price"":1295},{""name"":""Alphanamel Black 8oz"",""price"":1595},""Parenthesis"",""Match Number: 0""]"
A619,Alphanamel Metallic Gold,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":1995},{""name"":""5oz (Squeeze Bottle)"",""price"":3495}]","[""Success-1"",{""name"":""Alphanamel Metallic Gold 2oz"",""price"":1995},{""name"":""Alphanamel Metallic Gold 4oz"",""price"":3495}]"
A618,Alphanamel Metallic Silver,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":1395},{""name"":""5oz (Squeeze Bottle)"",""price"":1995}]","[""Success-1"",{""name"":""Alphanamel Metallic Silver 2oz"",""price"":1395},{""name"":""Alphanamel Metallic Silver 4oz"",""price"":1995}]"
A611,Alphanamel Meyer's Dark Blue,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""4 oz Can"",""price"":1395},{""name"":""8 oz Can"",""price"":1995}]","[""Less Suggestions"",{""name"":""Alphanamel Mike Myer's Dark Blue 8oz"",""price"":1995},{""name"":""Alphanamel Mike Myer's Dark Blue 2oz"",""price"":995}]"
A626,Alphanamel Mint Green,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Mint Green 2oz"",""price"":995},{""name"":""Alphanamel Mint Green 4oz"",""price"":1395}]"
A632,Alphanamel Monster Green,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Monster Green 2oz"",""price"":995},{""name"":""Alphanamel Monster Green 4oz"",""price"":1395}]"
A627,Alphanamel Orange Sherbert,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Orange Sherbert 2oz"",""price"":995},{""name"":""Alphanamel Orange Sherbert 4oz"",""price"":1395}]"
A629,Alphanamel Raspberry Sherbert,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Raspberry Sherbert 2oz"",""price"":995},{""name"":""Alphanamel Raspberry Sherbert 4oz"",""price"":1395}]"
A633,Alphanamel Tan,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395}]","[""Success-1"",{""name"":""Alphanamel Tan 2oz"",""price"":995},{""name"":""Alphanamel Tan 4oz"",""price"":1395}]"
A613,Alphanamel Violet,"[{""name"":""2.5oz (Squeeze Bottle)"",""price"":995},{""name"":""5oz (Squeeze Bottle)"",""price"":1395},{""name"":""4 oz Can"",""price"":1395},{""name"":""8 oz Can"",""price"":1995}]","[""Less Suggestions"",{""name"":""Alphanamel Tuki's Violet 4oz"",""price"":1395},{""name"":""Alphanamel Max Grundy's Grey 8oz"",""price"":1995},{""name"":""Alphanamel Tuki's Violet 2oz"",""price"":995}]"
4103,Aluminum Base (coarse),"[{""name"":""4oz"",""price"":695},{""name"":""32oz"",""price"":4975}]","[""More Suggestions:4"",{""name"":""Auto-Air 4103 Aluminum Base COARSE 4oz"",""price"":695},{""name"":""Auto-Air 4103 Aluminum Base COARSE Gallon"",""price"":18895},{""name"":""Auto-Air 4103 Aluminum Base COASE 16oz"",""price"":2625},{""name"":""Auto-Air 4103 Aluminum Base COASE 32oz"",""price"":4975}]"
4101,Aluminum Base (fine),"[{""name"":""4oz"",""price"":695}]","[""More Suggestions:4"",{""name"":""Auto-Air 4101 Aluminum Base FINE 4oz"",""price"":695},{""name"":""Auto-Air 4101 Aluminum Base FINE Gallon"",""price"":18895},{""name"":""Auto-Air 4101 Aluminum Base FINE 32oz"",""price"":4975},{""name"":""Auto-Air 4101 Aluminum Base FINE 16oz"",""price"":2625}]"
4102,Aluminum Base (medium),"[{""name"":""4oz"",""price"":695},{""name"":""32oz"",""price"":4975}]","[""More Suggestions:4"",{""name"":""Auto-Air 4102 Aluminum Base MEDIUM 4oz"",""price"":695},{""name"":""Auto-Air 4102 Aluminum Base MEDIUM Gallon"",""price"":18895},{""name"":""Auto-Air 4102 Aluminum Base MEDIUM 32oz"",""price"":4975},{""name"":""Auto-Air 4102 Aluminum Base MEDIUM 16oz"",""price"":2625}]"
BLKLPH400LV,Anest Iwata Black Ops LPH-400LV,"[{""name"":""LPH400-LV 1.3mm w/ 700ml cup (BLK5642)"",""price"":56500},{""name"":""LPH400-LV 1.3mm w/ 1000ml cup (BLK5643)"",""price"":56500},{""name"":""LPH400-LV 1.3mm Gun Only (BLK5640)"",""price"":50200},{""name"":""LPH400-LV 1.4mm w/ 700ml cup (BLK5552)"",""price"":56500},{""name"":""LPH400-LV 1.4mm w/ 1000ml cup (BLK5553)"",""price"":56500},{""name"":""LPH400-LV 1.4mm Gun Only (BLK5550)"",""price"":50200},{""name"":""LPH400-LVB 1.3mm w/700ml cup (BLK5702)"",""price"":56500},{""name"":""LPH400-LVB 1.3mm w/1000ml cup (BLK5703)"",""price"":56500},{""name"":""LPH400-LVB 1.3mm Gun Only (BLK5700)"",""price"":50200},{""name"":""LPH400-LVB 1.4mm w/700ml cup (BLK5707)"",""price"":56500},{""name"":""LPH400-LVB 1.4mm w/1000ml cup (BLK5708)"",""price"":56500},{""name"":""LPH400-LVB 1.4mm Gun Only (BLK5705)"",""price"":50200},{""name"":""LPH400-LVX 1.3mm w/700ml cup (BLK5662)"",""price"":56500},{""name"":""LPH400-LVX 1.3mm w/1000ml cup (BLK5663)"",""price"":56500},{""name"":""LPH400-LVX 1.3mm Gun Only (BLK5660)"",""price"":50200},{""name"":""LPH400-LVX 1.4mm w/700ml cup (BLK5672)"",""price"":56500},{""name"":""LPH400-LVX 1.4mm w/1000ml cup (BLK5673)"",""price"":56500},{""name"":""LPH400-LVX 1.4mm Gun Only (BLK5670)"",""price"":50200}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
BLKLPH50,Anest Iwata Black Ops LPH-50 HVLP,"[{""name"":""0.4mm w/ 130ml Cup (BLK5272)"",""price"":38695},{""name"":""0.6mm w/ 130ml Cup (BLK5274)"",""price"":38695},{""name"":""1.0mm w/ 130ml Cup (BLK5276)"",""price"":38695},{""name"":""0.4mm Gun Only (BLK5261)"",""price"":35395},{""name"":""0.6mm Gun Only (BLK5262)"",""price"":35395},{""name"":""1.0mm Gun Only (BLK5263)"",""price"":35395}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
BLKLPH80,Anest Iwata Black Ops LPH-80 Spray Gun,"[{""name"":""0.4 w/ 150ml Cup (BLK4901 w/ E2 Air Cap)"",""price"":41995},{""name"":""0.6 w/ 150ml Cup (BLK4906 w/ E2 Air Cap)"",""price"":41995},{""name"":""0.8 w/ 150ml Cup (BLK4911 w/ E2 Air Cap)"",""price"":41995},{""name"":""1.0 w/ 150ml Cup (BLK4916 w/ E2 Air Cap)"",""price"":41995},{""name"":""1.2 w/ 150ml Cup (BLK4921 w/ E2 Air Cap)"",""price"":41995},{""name"":""1.0 w/ 150ml Cup (BLK4926 w/ E4 Air Cap)"",""price"":41995},{""name"":""1.2 w/ 150ml Cup (BLK4931 w/ E4 Air Cap)"",""price"":41995},{""name"":""0.4 Gun Only (BLK4900 w/ E2 Air Cap)"",""price"":36595},{""name"":""0.6 Gun Only (BLK4905 w/ E2 Air Cap)"",""price"":36595},{""name"":""0.8 Gun Only (BLK4910 w/ E2 Air Cap)"",""price"":36595},{""name"":""1.0 Gun Only (BLK4915 w/ E2 Air Cap)"",""price"":36595},{""name"":""1.2 Gun Only (BLK4920 w/ E2 Air Cap)"",""price"":36595},{""name"":""1.0 Gun Only (BLK4925 w/ E4 Air Cap)"",""price"":36595},{""name"":""1.2 Gun Only (BLK4930 w/ E4 Air Cap)"",""price"":36595}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
BLKLS400E,Anest Iwata Black Ops LS400 Super Nova Entech,"[{""name"":""LS400ET 1.2mm *Gun Only* (5930BLK)"",""price"":75500},{""name"":""LS400ET 1.2mm Gun & 700ml Aluminum Cup (5932BLK)"",""price"":82500},{""name"":""LS400ET 1.2mm Gun & 1000ml Aluminum Cup (5933BLK)"",""price"":82500},{""name"":""LS400ET 1.3mm *Gun Only* (5935BLK)"",""price"":75500},{""name"":""LS400ET 1.3mm Gun & 700ml Aluminum Cup (5937BLK)"",""price"":82500},{""name"":""LS400ET 1.3mm Gun & 1000ml Aluminum Cup (5938BLK)"",""price"":82500},{""name"":""LS400ET 1.4mm *Gun Only* (5940BLK)"",""price"":75500},{""name"":""LS400ET 1.4mm Gun & 700ml Aluminum Cup (5942BLK)"",""price"":82500},{""name"":""LS400ET 1.4mm Gun & 1000ml Aluminum Cup (5943BLK)"",""price"":82500},{""name"":""LS400ET 1.5mm *Gun Only* (5945BLK)"",""price"":75500},{""name"":""LS400ET 1.5mm Gun & 700ml Aluminum Cup (5947BLK)"",""price"":82500},{""name"":""LS400ET 1.5mm Gun & 1000ml Aluminum Cup (5948BLK)"",""price"":82500}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
BLKRG3L,Anest Iwata Black Ops RG-3 Spray Gun,"[{""name"":""0.4mm w/ 130ml cup (BLK2862)"",""price"":39995},{""name"":""0.6mm w/ 130ml cup (BLK2864)"",""price"":39995},{""name"":""1.0mm w/ 130ml cup (BLK2866)"",""price"":39995},{""name"":""0.6mm w/ Fan Cap & 130ml cup (BLKH9100)"",""price"":39995},{""name"":""0.4mm Gun Only (BLK2805)"",""price"":34395},{""name"":""0.6mm Gun Only (BLK2806)"",""price"":34395},{""name"":""1.0mm Gun Only (BLK2807)"",""price"":34395}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
AIUS605,Anest Iwata Premium Micro-Fabric Spray Suit,"[{""name"":""AIUS60501 (Medium)"",""price"":0},{""name"":""AIUS60502 (Large)"",""price"":0},{""name"":""AIUS60503 (X-Large)"",""price"":0},{""name"":""AIUS60504 (2X-Large)"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
8511,Anest Iwata Spray Gun & Airbrush Lube,"[{""name"":""Single (8511)"",""price"":595},{""name"":""10 Pack (8511-PK)"",""price"":4500}]","[""Not All Prices Match"",{""name"":""Anest Iwata Spray Gun Lube Single"",""price"":495},{""name"":""Anest Iwata Spray Gun Lube 10 Pack"",""price"":2800},""Parenthesis"",""Success-2"",{""name"":""Anest Iwata Spray Gun Lube Single"",""price"":495},{""name"":""Anest Iwata Spray Gun Lube 10 Pack"",""price"":2800}]"
4090,Angular Fitch Liner,"[{""name"":""4090-1/4 (1/2\"" length)"",""price"":231},{""name"":""4090-1/2 (3/4\"" length)"",""price"":336},{""name"":""4090-3/4 (1\"" length)"",""price"":448},{""name"":""4090-1 (1-1/4\"" length)"",""price"":665}]","[""Not All Prices Match"",{""name"":""Mack 4090 #¼\"" Angular Fitch Liner"",""price"":195},{""name"":""Mack 4090 #½\"" Angular Fitch Liner"",""price"":195},{""name"":""Mack 4090 #¾\"" Angular Fitch Liner"",""price"":375},{""name"":""Mack 4090 #1 Angular Fitch Liner"",""price"":560},""Parenthesis"",""Match Number: 0""]"
